iteration_number,unreachable_points_number,recall
946,11331,0.989570
947,11344,0.989541
948,11351,0.989549
949,11360,0.989545
950,11372,0.989572
951,11380,0.989550
952,11388,0.989515
953,11396,0.989511
954,11410,0.989485
955,11422,0.989504
956,11429,0.989528
957,11442,0.989472
958,11450,0.989497
959,11453,0.989455
960,11464,0.989464
961,11479,0.989422
962,11499,0.989370
963,11507,0.989381
964,11522,0.989394
965,11538,0.989383
966,11552,0.989324
967,11564,0.989362
968,11577,0.989374
969,11587,0.989322
970,11601,0.989293
971,11617,0.989283
972,11628,0.989227
973,11636,0.989190
974,11639,0.989160
975,11655,0.989223
976,11666,0.989193
977,11675,0.989186
978,11681,0.989142
979,11698,0.989160
980,11710,0.989195
981,11722,0.989170
982,11743,0.989175
983,11753,0.989147
984,11763,0.989194
985,11770,0.989125
986,11783,0.989127
987,11794,0.989093
988,11803,0.989080
989,11812,0.989069
990,11817,0.989056
991,11826,0.989069
992,11836,0.989087
993,11847,0.989039
994,11859,0.989034
995,11881,0.989002
996,11886,0.988969
997,11890,0.988948
998,11898,0.988992
999,11911,0.989009
1000,11918,0.988998
1001,11932,0.988991
1002,11941,0.989022
1003,11952,0.988982
1004,11963,0.988928
1005,11974,0.988917
1006,11983,0.988906
1007,11997,0.988909
1008,12006,0.988928
1009,12026,0.988893
1010,12038,0.988883
1011,12051,0.988875
1012,12063,0.988871
1013,12078,0.988851
1014,12094,0.988854
1015,12103,0.988832
1016,12109,0.988798
1017,12124,0.988791
1018,12131,0.988769
1019,12142,0.988780
1020,12155,0.988720
1021,12169,0.988721
1022,12182,0.988743
1023,12194,0.988749
1024,12201,0.988727
1025,12216,0.988706
1026,12226,0.988694
1027,12240,0.988702
1028,12255,0.988657
1029,12262,0.988634
1030,12274,0.988621
1031,12290,0.988633
1032,12301,0.988635
1033,12307,0.988640
1034,12323,0.988640
1035,12328,0.988618
1036,12340,0.988608
1037,12350,0.988590
1038,12355,0.988557
1039,12368,0.988508
1040,12379,0.988488
1041,12394,0.988513
1042,12402,0.988508
1043,12414,0.988488
1044,12425,0.988524
1045,12432,0.988483
1046,12448,0.988506
1047,12458,0.988463
1048,12465,0.988446
1049,12483,0.988471
1050,12497,0.988416
1051,12512,0.988418
1052,12521,0.988436
1053,12529,0.988456
1054,12542,0.988398
1055,12553,0.988391
1056,12562,0.988405
1057,12571,0.988394
1058,12579,0.988371
1059,12587,0.988391
1060,12597,0.988314
1061,12612,0.988313
1062,12624,0.988342
1063,12635,0.988327
1064,12645,0.988334
1065,12657,0.988302
1066,12670,0.988269
1067,12684,0.988264
1068,12698,0.988215
1069,12708,0.988252
1070,12719,0.988234
1071,12738,0.988223
1072,12755,0.988211
1073,12766,0.988183
1074,12779,0.988193
1075,12789,0.988180
1076,12796,0.988188
1077,12805,0.988174
1078,12822,0.988168
1079,12833,0.988154
1080,12844,0.988126
1081,12851,0.988122
1082,12864,0.988142
1083,12877,0.988131
1084,12888,0.988112
1085,12897,0.988084
1086,12907,0.988045
1087,12915,0.988045
1088,12925,0.988025
1089,12938,0.988046
1090,12952,0.988008
1091,12960,0.987954
1092,12971,0.987987
1093,12978,0.988046
1094,12994,0.988012
1095,12999,0.987983
1096,13003,0.987967
1097,13011,0.987975
1098,13022,0.987993
1099,13031,0.987947
1100,13045,0.987947
1101,13058,0.987958
1102,13069,0.987937
1103,13077,0.987903
1104,13084,0.987878
1105,13095,0.987910
1106,13109,0.987943
1107,13117,0.987922
1108,13135,0.987884
1109,13149,0.987870
1110,13163,0.987844
1111,13175,0.987831
1112,13191,0.987819
1113,13198,0.987770
1114,13211,0.987777
1115,13220,0.987762
1116,13240,0.987794
1117,13251,0.987760
1118,13257,0.987764
1119,13271,0.987768
1120,13281,0.987751
1121,13289,0.987763
1122,13296,0.987751
1123,13304,0.987760
1124,13312,0.987761
1125,13320,0.987757
1126,13336,0.987714
1127,13341,0.987693
1128,13343,0.987711
1129,13352,0.987677
1130,13360,0.987697
1131,13370,0.987684
1132,13384,0.987701
1133,13390,0.987634
1134,13397,0.987629
1135,13406,0.987611
1136,13414,0.987616
1137,13424,0.987611
1138,13444,0.987609
1139,13455,0.987608
1140,13467,0.987584
1141,13477,0.987594
1142,13488,0.987563
1143,13497,0.987502
1144,13506,0.987488
1145,13521,0.987500
1146,13539,0.987537
1147,13556,0.987516
1148,13567,0.987500
1149,13581,0.987466
1150,13593,0.987421
1151,13597,0.987436
1152,13605,0.987425
1153,13617,0.987436
1154,13633,0.987439
1155,13652,0.987415
1156,13662,0.987433
1157,13674,0.987429
1158,13689,0.987428
1159,13699,0.987449
1160,13706,0.987417
1161,13716,0.987425
1162,13722,0.987377
1163,13737,0.987320
1164,13747,0.987300
1165,13763,0.987284
1166,13777,0.987284
1167,13794,0.987233
1168,13807,0.987307
1169,13811,0.987313
1170,13819,0.987301
1171,13825,0.987319
1172,13836,0.987283
1173,13852,0.987272
1174,13865,0.987232
1175,13876,0.987224
1176,13889,0.987223
1177,13895,0.987172
1178,13910,0.987135
1179,13917,0.987112
1180,13928,0.987123
1181,13940,0.987096
1182,13950,0.987104
1183,13962,0.987081
1184,13980,0.987066
1185,13996,0.987074
1186,14005,0.987087
1187,14019,0.987053
1188,14037,0.987066
1189,14044,0.987043
1190,14050,0.987002
1191,14062,0.986978
1192,14076,0.986943
1193,14099,0.986953
1194,14110,0.986938
1195,14124,0.986935
1196,14138,0.986938
1197,14152,0.986925
1198,14158,0.986904
1199,14167,0.986958
1200,14187,0.986908
1201,14197,0.986908
1202,14214,0.986887
1203,14228,0.986858
1204,14236,0.986859
1205,14251,0.986859
1206,14259,0.986818
1207,14271,0.986815
1208,14285,0.986804
1209,14300,0.986821
1210,14308,0.986824
1211,14316,0.986777
1212,14328,0.986748
1213,14340,0.986733
1214,14351,0.986718
1215,14363,0.986771
1216,14376,0.986797
1217,14387,0.986784
1218,14397,0.986752
1219,14405,0.986757
1220,14421,0.986750
1221,14432,0.986760
1222,14435,0.986725
1223,14444,0.986715
1224,14453,0.986687
1225,14461,0.986698
1226,14481,0.986691
1227,14493,0.986654
1228,14506,0.986671
1229,14512,0.986641
1230,14519,0.986640
1231,14530,0.986614
1232,14534,0.986655
1233,14544,0.986643
1234,14556,0.986620
1235,14565,0.986632
1236,14570,0.986579
1237,14581,0.986565
1238,14594,0.986507
1239,14604,0.986530
1240,14613,0.986528
1241,14622,0.986499
1242,14628,0.986532
1243,14641,0.986538
1244,14654,0.986505
1245,14667,0.986500
1246,14677,0.986505
1247,14693,0.986509
1248,14706,0.986450
1249,14714,0.986467
1250,14724,0.986446
1251,14732,0.986464
1252,14746,0.986434
1253,14758,0.986429
1254,14768,0.986421
1255,14775,0.986353
1256,14781,0.986374
1257,14796,0.986348
1258,14804,0.986332
1259,14813,0.986331
1260,14828,0.986347
1261,14833,0.986382
